age,education,experience,hours_per_week,tenure,sex,wage
51,12,33.983331537432676,31.537400344616902,0.10718086224445952,0,32.40988530481735
41,13,25.0,41.49869190074018,4.303800223482629,1,34.32053962983582
32,15,14.0,32.797003624232495,0.8122507956981816,1,28.138393111729837
43,14,23.541497494275717,38.85708718168149,0.062241714923680955,1,34.89528707507923
33,15,9.08614414284389,23.02440503380719,0.5538263885134753,0,22.00801456551287
31,11,17.0,51.4326154759738,1.8827062621666548,0,31.319178799971837
26,12,11.0,45.65332594973188,5.530650233328308,0,27.373784224788004
22,14,4.282680394643924,40.29429873159114,1.1321387753874461,1,27.70210228011033
34,19,9.094267631627268,32.14546034522698,10.92803690902954,1,34.38159868311845
40,14,23.0,34.68593946606186,1.7018178629697978,1,27.97125074636458
37,17,13.838024470981084,45.634939987322554,2.0115476316649876,0,26.14673560983954
34,14,15.830528315340084,27.47665610689012,1.2293567860775705,1,28.146686461969107
29,13,13.0,39.8992952506454,1.463843852774679,1,28.50051390730467
44,13,25.50156212030995,50.42225754714728,0.38513483513292623,0,30.84666982669102
25,14,3.221277633477582,30.579570722716632,1.746160544234165,0,22.44102947646509
46,16,23.51288709737704,33.59040591751877,9.81692075626542,0,35.05911170668135
28,17,5.99172939299202,47.732998390174586,5.830568636899728,0,30.080655686084672
30,15,11.765378333607527,45.24050407161589,10.407947388843727,1,33.28113694222359
23,17,0.39302486153771365,39.76448833643286,0.5538702364002591,0,22.037393219175186
33,12,16.400134431713795,40.806446824944096,3.040507788050136,0,27.198420810565
48,13,30.457424518274102,43.5504010240614,1.3019876731164903,1,38.450241380210734
43,12,25.26800466282861,49.37710171472011,6.386582609375504,0,36.36841535789122
48,15,24.0,33.508945476091974,17.572584889001927,0,39.691251471451544
43,13,23.32552470923578,22.69132174883422,8.446722371158163,0,26.637268877613153
27,16,6.145854362863466,30.311339495853403,0.1795773744866794,0,21.653727911061033
35,12,18.414408299324286,38.3782117277013,1.903811463050927,1,31.331747201098402
30,14,9.300658912424332,37.718578604029446,0.1449802089247895,0,29.574670808785175
51,16,29.43782057233777,42.69089464082863,0.20497966766605732,1,37.8430539591142
26,9,14.0,50.58285221664704,0.41427452186353547,1,24.876543320401574
47,19,22.822694910310855,46.48553987921905,1.617077739658259,0,35.0071698453084
47,13,31.0,42.56152991339183,1.813484969533862,1,39.322504138024065
56,9,38.41067905706316,46.97263902584663,2.5579088248009176,0,34.9223125584349
34,14,13.75932493510155,33.258446662680925,2.5953903626101082,0,24.93101528292993
45,14,26.57983348837499,29.94323263273254,7.3791047514233545,1,40.516627078541354
61,14,42.579142440102174,41.51388828219263,0.7622795047600759,1,40.819248899374486
32,16,11.075958684423066,49.57221844192185,0.8583362747005013,1,30.400483930793698
23,16,0.4808435923299772,34.80319266146505,4.925378638311203,0,20.478274212829817
22,15,2.2744671740599776,30.511437988207767,4.240149083255009,0,24.511227377202538
45,15,23.130722969978255,48.41314192022507,0.8362074071348792,1,37.22149665572897
22,14,4.66594215204568,35.53950600113282,9.56165635572366,0,20.88341349605264
34,18,10.725761687539691,47.694370934888845,1.9953734576811248,0,24.991795803034936
42,10,25.936502156509682,45.09874895186669,2.2861663804502483,0,35.12553746515613
40,14,21.36025121955939,43.431590644290864,2.7276036652174502,0,33.091929140705005
42,14,21.822247882247346,49.68601103158495,1.9482186740937073,1,38.119213782040624
40,16,17.00294864227348,28.8432075625608,4.076066214538502,0,28.652372657673553
51,12,34.81838685141417,47.65153189294679,2.4604096405680016,1,44.37025282130735
28,10,14.048340555648267,41.06136705867285,1.5017075026849058,0,19.811107515700954
31,14,12.930255128310163,45.79448320708179,11.741829503925842,1,37.06415919738503
30,15,11.67508200677772,46.1297111841304,1.8433815088491126,1,29.52302780440931
