,age,education,experience,hours_per_week,tenure,sex,wage
0,27,14,10.0,53.35145024761119,11.286381817498278,1,34.55236002820627
1,49,16,27.192389657896026,54.809366220947915,1.425428229688802,1,41.774261155452294
2,42,17,20.52210574527316,40.91165052946375,14.882836662062527,1,42.11483952043101
3,55,16,33.50726191293431,33.009830775915916,0.0856873424179746,0,36.93434315026226
4,22,12,3.625896146276001,52.49629665360464,5.725955621736336,1,27.96522247195847
5,47,14,29.073876724989105,45.095670104731646,0.8129250684155878,0,33.33919546736611
6,35,18,11.382226813586723,27.834914574741113,7.3660517427961185,0,23.094131922831302
7,34,10,21.0,34.73807221319391,3.385443359796152,1,34.30625509445548
8,30,17,8.679642817832324,38.048543430757114,12.020335286726784,0,28.34336821943252
9,47,12,29.61867939336598,45.30662618753317,6.277544846537952,0,32.68597272074803
10,44,15,20.0,42.83695118816585,7.310825339240907,0,38.11844970355195
11,27,15,8.221541332595315,54.0999696868609,0.6418912881906633,1,21.556722391283643
12,40,14,20.317830370292896,31.12519490133653,0.5077345963311943,0,27.696830440746908
13,45,20,17.369699866642893,44.97174196175048,9.50422474267395,0,28.540170893668147
14,40,13,18.315489814870773,33.23183138687056,1.2794562815912836,0,27.84811816150549
15,49,10,35.69250395420203,40.66098352249418,10.084844242450233,1,39.060423669581375
16,35,15,12.126214494173096,46.09739939056941,0.7688928806184039,0,17.502291204456075
17,22,14,5.0,44.02544597647611,1.844108378865866,1,30.207577517358573
18,40,15,19.394705922719734,49.32287051267139,13.207011432609896,0,30.66418737339433
19,40,16,21.0,34.08027542563131,9.15409736862028,1,40.21588175777744
20,41,14,21.046745099051673,43.2133924897951,0.27884618722668886,0,25.972902919347018
21,49,15,31.0,40.16198444003755,2.9719194868832566,1,37.962125457739006
22,22,14,4.079895896844578,26.81121775800296,12.032391325503102,1,22.167267885999365
23,36,18,13.50835939556351,28.069690779125615,0.07433911233427734,0,27.563135127367975
24,29,13,8.942502147696981,43.145770395124096,0.5676326502865979,1,26.352578398249133
25,26,12,11.0,47.887128455283,5.180947153294665,1,28.96141332785246
26,37,16,16.003146241401325,32.66783875862736,0.5545655300990799,0,26.55447488294328
27,45,12,28.76877251287547,43.33688020985768,2.9786347890450813,1,31.96173198784553
28,41,15,21.38625417300281,45.13084801942608,3.544582139950445,1,38.070100498269326
29,31,14,10.551346624235345,33.40700155466712,9.839646221715569,0,25.401462077455534
